two_stage_multi,two_stage_single,dfl_multi,dfl_single
-32.40042495727539,-31.78647232055664,-8.21512508392334,-28.107093811035156
-38.256168365478516,-37.28322219848633,-38.0645866394043,-42.2005729675293
-42.17331314086914,-40.473548889160156,-37.248512268066406,-44.332252502441406
-43.04707717895508,-44.20390701293945,-41.95073699951172,-46.89229965209961
-43.024295806884766,-45.063236236572266,-42.8779182434082,-46.8977165222168
-45.6215705871582,-46.542667388916016,-46.080230712890625,-46.9017448425293
-47.20933151245117,-48.30271530151367,-45.405311584472656,-48.96416473388672
-48.814781188964844,-48.4034538269043,-48.91643142700195,-48.444576263427734
-49.953582763671875,-47.110233306884766,-47.66413879394531,-49.70088195800781
-49.583465576171875,-49.39261245727539,-47.752628326416016,-48.451351165771484
-47.864051818847656,-49.62489318847656,-49.4343376159668,-49.52922058105469
-45.080291748046875,-50.456024169921875,-47.90434265136719,-51.074222564697266
-46.0993537902832,-48.41569900512695,-47.63875961303711,-49.32621765136719
-47.150638580322266,-51.8908576965332,-47.81785583496094,-48.759796142578125
-51.24180603027344,-50.121856689453125,-48.44308853149414,-51.717044830322266
-50.647159576416016,-51.19269943237305,-49.55132293701172,-50.30891799926758
-48.38131332397461,-50.2596321105957,-45.61844253540039,-49.32060623168945
-50.18638229370117,-49.30677795410156,-49.1705436706543,-50.479610443115234
-51.84968948364258,-50.11634063720703,-50.952022552490234,-50.2743034362793
-52.7339973449707,-50.968624114990234,-46.00847625732422,-49.07305145263672
-53.42264938354492,-51.99839782714844,-51.24724578857422,-53.826866149902344
-54.311744689941406,-51.40193557739258,-51.396156311035156,-53.40133285522461
-55.119476318359375,-50.95623016357422,-51.23176574707031,-52.96102523803711
-54.300193786621094,-52.11820602416992,-49.89400863647461,-54.28523635864258
-52.76160430908203,-51.08560562133789,-50.72372817993164,-54.22903823852539
-52.27212905883789,-49.93819808959961,-50.52260208129883,-54.661827087402344
-55.28724670410156,-51.63643264770508,-51.3479118347168,-52.0442008972168
-56.20222854614258,-52.782222747802734,-49.83005142211914,-52.5814094543457
-57.41265869140625,-52.82304382324219,-49.41393280029297,-53.87540054321289
-53.314178466796875,-52.97791290283203,-52.836341857910156,-51.873878479003906
-56.84788131713867,-52.537109375,-54.1453857421875,-53.56947708129883
-52.778438568115234,-52.38410186767578,-52.32350540161133,-50.9449577331543
-56.991966247558594,-54.17123794555664,-53.397830963134766,-54.08253479003906
-56.23655319213867,-52.90913772583008,-52.8580207824707,-55.06380844116211
-55.309288024902344,-52.57271194458008,-50.37892532348633,-54.43382263183594
-56.28038024902344,-52.791011810302734,-53.07931900024414,-54.64081954956055
-56.807003021240234,-52.927459716796875,-40.06509017944336,-52.88284683227539
-56.168296813964844,-54.554481506347656,-51.9099235534668,-54.12724304199219
-56.2899055480957,-52.47745132446289,-50.120025634765625,-54.46625518798828
-56.44801330566406,-53.70728302001953,-50.82899475097656,-54.24673080444336
-56.11870193481445,-51.52692413330078,-53.884029388427734,-54.48689270019531
-56.28268814086914,-52.526702880859375,-52.0548210144043,-53.02831268310547
-53.95011901855469,-52.70882034301758,-53.11921310424805,-53.474586486816406
-58.33240509033203,-53.242740631103516,-51.5369873046875,-54.84330749511719
-57.77971267700195,-52.904911041259766,-52.446258544921875,-52.58491897583008
-57.31621170043945,-51.4244384765625,-53.728084564208984,-53.08803176879883
-57.018062591552734,-53.24417495727539,-52.34866714477539,-53.21735382080078
-56.358760833740234,-52.01154708862305,-54.17397689819336,-53.40829849243164
-52.741783142089844,-53.263343811035156,-53.616058349609375,-54.634193420410156
-57.185665130615234,-53.94725799560547,-52.26526641845703,-54.342750549316406
